iter	Passed	Remaining
424	1940	2625
425	1944	2620
426	1948	2615
427	1952	2609
428	1956	2604
429	1961	2599
430	1965	2594
431	1969	2589
432	1973	2584
433	1978	2580
434	1982	2574
435	1986	2569
436	1989	2563
437	1993	2558
438	1997	2552
439	2001	2547
440	2004	2541
441	2009	2536
442	2012	2531
443	2016	2525
444	2020	2520
445	2025	2516
446	2029	2511
447	2033	2505
448	2037	2500
449	2041	2495
450	2045	2489
451	2049	2484
452	2053	2479
453	2057	2474
454	2061	2469
455	2065	2463
456	2069	2458
457	2073	2453
458	2077	2448
459	2080	2442
460	2085	2437
461	2089	2432
462	2092	2427
463	2096	2422
464	2100	2417
465	2105	2412
466	2109	2407
467	2113	2402
468	2117	2397
469	2121	2392
470	2125	2387
471	2129	2382
472	2133	2377
473	2137	2372
474	2141	2366
475	2145	2362
476	2150	2357
477	2154	2352
478	2158	2347
479	2162	2342
480	2167	2338
481	2171	2333
482	2174	2327
483	2178	2322
484	2182	2317
485	2185	2311
486	2189	2306
487	2192	2300
488	2197	2296
489	2201	2291
490	2205	2286
491	2209	2281
492	2213	2276
493	2217	2271
494	2221	2266
495	2225	2261
496	2229	2256
497	2233	2251
498	2237	2246
499	2241	2241
500	2246	2237
501	2251	2233
502	2255	2228
503	2259	2223
504	2263	2218
505	2266	2213
506	2270	2208
507	2274	2203
508	2279	2198
509	2283	2193
510	2286	2188
511	2290	2183
512	2294	2178
513	2298	2173
514	2302	2168
515	2306	2163
516	2310	2158
517	2314	2153
518	2318	2148
519	2322	2143
520	2326	2139
521	2330	2134
522	2334	2129
523	2338	2124
524	2342	2119
525	2346	2114
526	2350	2109
527	2354	2104
528	2358	2099
529	2362	2094
530	2366	2090
531	2371	2085
532	2375	2081
533	2379	2076
534	2382	2070
535	2386	2066
536	2391	2061
537	2394	2056
538	2398	2051
539	2402	2046
540	2406	2041
541	2410	2036
542	2414	2031
543	2418	2027
544	2422	2022
545	2425	2017
546	2429	2012
547	2433	2007
548	2437	2002
549	2441	1997
550	2445	1992
551	2449	1987
552	2453	1983
553	2457	1978
554	2460	1973
555	2464	1968
556	2468	1963
557	2472	1958
558	2475	1953
559	2479	1948
560	2483	1943
561	2487	1938
562	2491	1933
563	2494	1928
564	2499	1924
565	2502	1919
566	2507	1914
567	2511	1910
568	2515	1905
569	2519	1900
570	2523	1895
571	2527	1890
572	2531	1886
573	2535	1881
574	2538	1876
575	2542	1871
576	2547	1867
577	2551	1862
578	2554	1857
579	2558	1852
580	2562	1848
581	2566	1843
582	2570	1838
583	2574	1833
584	2578	1828
585	2581	1823
586	2585	1819
587	2589	1814
588	2593	1809
589	2597	1804
590	2601	1800
591	2605	1795
592	2609	1791
593	2614	1786
594	2617	1781
595	2621	1776
596	2625	1772
597	2629	1767
598	2633	1762
599	2637	1758
600	2641	1753
601	2645	1748
602	2648	1743
603	2652	1739
604	2656	1734
605	2661	1730
606	2665	1725
607	2668	1720
608	2673	1716
609	2676	1711
610	2680	1706
611	2684	1701
612	2688	1697
613	2692	1692
614	2695	1687
615	2699	1683
616	2704	1678
617	2708	1674
618	2712	1669
619	2716	1665
620	2721	1661
621	2725	1656
622	2730	1652
623	2734	1647
