iter	RMSE
270	0.6646472931
271	0.6642184478
272	0.6638410131
273	0.6634615998
274	0.6630739953
275	0.6626945965
276	0.6623194892
277	0.661943
278	0.6615673913
279	0.6611931608
280	0.660824875
281	0.6604528801
282	0.6600836394
283	0.6596810624
284	0.6592729784
285	0.6589071748
286	0.6585432659
287	0.6581784284
288	0.6578145177
289	0.6574513135
290	0.6570945891
291	0.6567370712
292	0.6563570092
293	0.6559996751
294	0.655645279
295	0.655293746
296	0.6549416412
297	0.654591996
298	0.6542004709
299	0.6538517454
300	0.65350446
301	0.6531571546
302	0.6528114717
303	0.6524669341
304	0.6521237502
305	0.6517829666
306	0.6514417147
307	0.6510987699
308	0.6507581724
309	0.6504190662
310	0.6500833408
311	0.6497498128
312	0.6494145457
313	0.6490586912
314	0.6487264751
315	0.6483945022
316	0.6480602883
317	0.64769124
318	0.647358993
319	0.6470155951
320	0.6466871217
321	0.6463590253
322	0.6460048809
323	0.6456785098
324	0.6453304493
325	0.6450063821
326	0.6446852866
327	0.6443649353
328	0.6440441778
329	0.6437243615
330	0.6434054521
331	0.6430885255
332	0.642771984
333	0.6424567095
334	0.6421421981
335	0.6418049377
336	0.6414929896
337	0.6411810796
338	0.6408699211
339	0.6405605233
340	0.6402488548
341	0.6399412541
342	0.6396327974
343	0.6393268339
344	0.6390204693
345	0.6386898667
346	0.6383860005
347	0.6380831085
348	0.6377796087
349	0.637477408
350	0.6371760846
351	0.6368769003
352	0.6365784338
353	0.6362801494
354	0.6359835999
355	0.6356874268
356	0.6353913368
357	0.6350970886
358	0.6348017448
359	0.6345089563
360	0.6342171634
361	0.6339263636
362	0.6336348044
363	0.6333449069
364	0.6330549683
365	0.6327669889
366	0.6324561656
367	0.6321698797
368	0.6318840058
369	0.6315974325
370	0.6313128426
371	0.6310083273
372	0.6307248597
373	0.6304429057
374	0.6301552961
375	0.6298730433
376	0.6295918438
377	0.6292940164
378	0.6290149445
379	0.6287356685
380	0.6284422941
381	0.6281645944
382	0.6278874663
383	0.6261619407
384	0.6256839872
385	0.6253127953
386	0.6250363815
387	0.6247605507
388	0.6244853587
389	0.6242113731
390	0.6237569145
391	0.6234837256
392	0.6232111294
393	0.6229437456
394	0.6226685301
395	0.6223976834
396	0.6221245523
397	0.6197826241
398	0.6179856357
399	0.6177089307
400	0.6174388497
401	0.6171697125
402	0.6169014461
403	0.6166314506
404	0.6163654145
405	0.6160992706
406	0.615803912
407	0.6155391451
408	0.6152751042
409	0.6150184244
410	0.6147557675
411	0.6144934518
412	0.6142314896
413	0.6138110179
414	0.6135501099
415	0.6132891615
416	0.6130289496
417	0.6127697032
418	0.6125109864
419	0.6108062793
420	0.6105456429
421	0.6102845409
422	0.6100264457
423	0.6097687508
424	0.6095117557
425	0.6092557971
426	0.6090007034
427	0.6087457615
428	0.6084919222
429	0.6082357126
430	0.6079826034
431	0.6077269726
432	0.6074748766
433	0.6072226421
434	0.6069711003
435	0.6067200902
436	0.6064701966
437	0.6062198153
438	0.6059699165
439	0.605721074
440	0.6054707451
441	0.605222266
442	0.6049744422
443	0.6047277672
444	0.6044814393
445	0.6034993888
446	0.6032528348
447	0.603006255
448	0.6027600842
449	0.6025151062
450	0.602270674
451	0.6020269819
452	0.6017838155
453	0.6015412123
454	0.6012981402
455	0.6010553435
456	0.5992022545
457	0.5989579784
458	0.5987104976
459	0.598470779
460	0.5982265956
461	0.5979851277
462	0.5977450155
463	0.5975047947
464	0.5972634689
465	0.5957244009
466	0.5954835244
467	0.5952426875
468	0.5950049336
469	0.5947677344
470	0.5945295058
471	0.5942916448
472	0.5940541524
473	0.5938184275
474	0.5935829823
475	0.5933478853
476	0.5928433845
477	0.5926088409
478	0.5923886793
479	0.592154745
480	0.5905805083
481	0.5903447897
482	0.5901096828
483	0.5898768677
484	0.5896426967
485	0.5894110453
486	0.5891798305
487	0.5889428172
488	0.5871129012
489	0.5868787328
490	0.5850444701
491	0.5848108608
492	0.5845793418
493	0.5843464286
494	0.5841162978
495	0.5838870806
496	0.5836562993
497	0.5834260696
498	0.583198301
499	0.5829707205
500	0.5827434894
501	0.5825149339
502	0.5822884899
503	0.5820628033
504	0.5818373705
505	0.5816126448
506	0.5813882801
507	0.5811629839
508	0.5809391946
509	0.5807158128
510	0.5804929573
511	0.5802702973
512	0.5800436776
513	0.5798195402
514	0.5795979922
515	0.5793766861
516	0.5777879408
517	0.5775634563
518	0.5773420258
519	0.5771193142
520	0.5768994824
521	0.5766800163
522	0.5746737102
523	0.5744522839
524	0.5742327856
525	0.5740139574
526	0.5737955549
527	0.5735777271
528	0.5733576884
529	0.5731407641
530	0.5729244169
531	0.572711477
532	0.5724957816
533	0.5710452989
534	0.5708292012
535	0.569186372
536	0.5689662651
537	0.5687643703
538	0.5685490582
539	0.5683343926
540	0.5681201596
541	0.5679065416
542	0.5676934244
543	0.5674806424
544	0.5672683064
545	0.5670563293
546	0.5668446555
547	0.5666307695
548	0.5664196378
549	0.5662064543
550	0.5659963056
551	0.5657837669
552	0.5655740306
553	0.5653734133
554	0.5651795655
555	0.5649854682
556	0.564776606
557	0.5645685056
558	0.5643580029
559	0.5641506044
560	0.5639434111
561	0.5637364001
562	0.5621423939
563	0.5619340896
564	0.561724577
565	0.5615180197
566	0.5612969719
567	0.5610911171
568	0.5608839766
569	0.5606771609
570	0.559266747
571	0.5590602532
572	0.5588557996
573	0.5586519236
574	0.5584464341
575	0.5582474579
576	0.5580447531
577	0.5578500842
578	0.5576479004
579	0.5574457809
580	0.5572368352
581	0.5566159532
582	0.5564123718
583	0.5562093006
584	0.5545648666
585	0.5543620417
586	0.5541588868
587	0.5539582421
588	0.5537557966
589	0.5535557283
590	0.5533497152
591	0.5531488601
592	0.551797242
593	0.5515969007
594	0.5513975853
595	0.5511970205
596	0.5509968641
597	0.5494618464
598	0.5481743999
599	0.5479722456
600	0.5477733533
601	0.5475740255
602	0.5473756
603	0.5471789869
604	0.5469933609
605	0.546797371
606	0.5466006215
607	0.5464044145
608	0.5462100457
609	0.5460158337
610	0.5458203984
611	0.5456252002
612	0.544325551
613	0.5441308743
614	0.5439356311
615	0.5437525801
616	0.5435596504
617	0.5433661498
618	0.5415761369
619	0.5413816478
620	0.541187992
621	0.540996042
622	0.5408048937
623	0.5406143191
624	0.5404240144
625	0.5402328472
626	0.5400431071
627	0.5398524812
628	0.5396746249
629	0.5394851492
630	0.5392951102
631	0.5391055642
632	0.5389164557
633	0.5387276513
634	0.5385390281
635	0.5383564087
636	0.5381688776
637	0.5379807511
638	0.5377927347
639	0.5376049659
640	0.5374328561
641	0.5372574031
642	0.5370710081
643	0.536884798
644	0.5366989116
645	0.536512583
646	0.5363265192
647	0.5361407542
648	0.5359559043
649	0.5357711575
650	0.5342232904
651	0.5340363195
652	0.5338502891
653	0.5336650608
654	0.5334899229
655	0.5333054871
656	0.533121312
657	0.5317409275
658	0.5315689687
659	0.5313850008
660	0.53120218
661	0.5310195487
662	0.5308374516
663	0.5306523997
664	0.5304704821
665	0.5291568994
666	0.5289719425
667	0.5287902387
668	0.5286091156
669	0.528428198
670	0.5282475719
671	0.5272301058
672	0.5270492271
673	0.5268692242
674	0.5266898097
675	0.5247997755
676	0.524619145
677	0.5244403578
678	0.5242622511
679	0.5240843361
680	0.5239119349
681	0.5237341899
682	0.5235724716
683	0.5233957553
684	0.5224389482
685	0.5222712515
686	0.5220944615
687	0.5211152193
688	0.5209478937
689	0.5207710866
690	0.5205936807
691	0.5204176342
692	0.5202423128
693	0.519474261
694	0.5192989928
695	0.5191240049
696	0.5189622965
697	0.518185859
698	0.5180098184
699	0.5178359712
700	0.5166397866
701	0.5164787804
702	0.5163187673
703	0.5161450205
704	0.5159720251
705	0.5157993239
706	0.5156263663
707	0.5154535724
708	0.5143438105
709	0.5141678366
710	0.5140103231
711	0.5138368147
712	0.513665666
713	0.5134943703
714	0.5133236811
715	0.5131533705
716	0.5129800903
717	0.512809833
718	0.5126402167
719	0.5124710161
720	0.5123020735
721	0.5121332957
722	0.5119647312
723	0.5117963668
724	0.5116281063
725	0.5114741986
726	0.5113057121
727	0.5111466408
728	0.5100268525
729	0.5098544579
730	0.509686189
731	0.5095167519
732	0.5093493405
733	0.5091896743
734	0.5090377598
735	0.5088713322
736	0.5087051072
737	0.5085385186
738	0.5083727191
739	0.5082055908
740	0.5068632016
741	0.5066954338
742	0.5065283356
743	0.5063617182
744	0.5061960184
745	0.5060301112
746	0.5058650896
747	0.5057003614
748	0.505535382
749	0.5053866796
750	0.5052225067
751	0.5050744795
752	0.50492554
753	0.5047565696
754	0.5045923861
755	0.5044290661
756	0.50426442
757	0.5041013773
758	0.5032901924
759	0.5031261241
760	0.5029633234
761	0.5028007338
762	0.5026377591
763	0.5024755852
764	0.5023129566
765	0.5021510623
766	0.5010307882
767	0.5008681071
768	0.5007059897
769	0.5005619693
770	0.5004129645
771	0.5002516833
772	0.5000893791
773	0.4999273903
774	0.4997669485
775	0.4996066477
776	0.49944577
777	0.4992846197
778	0.4991249123
779	0.4989641206
780	0.4988037293
781	0.4986431703
782	0.4984841285
783	0.4983252418
784	0.498166428
785	0.498006874
786	0.4978485269
787	0.4976893652
788	0.4975300693
789	0.4973721747
790	0.4972100527
791	0.4970482887
792	0.4968907259
793	0.496732413
794	0.4965875817
795	0.4964293113
796	0.4962723721
797	0.4961155306
798	0.4959588122
799	0.4949335294
800	0.4947749243
801	0.4946183811
802	0.49446206
803	0.4943059004
804	0.4941498388
805	0.4939940565
806	0.4938385621
807	0.4927746248
808	0.4926179942
809	0.4924627769
810	0.4923066472
811	0.4921517648
812	0.4919971373
813	0.4918426736
814	0.4916875024
815	0.4915293076
816	0.4913756001
817	0.491221016
818	0.4910782367
819	0.4909250507
820	0.4907720562
821	0.4906180614
822	0.4904652567
823	0.490308548
824	0.4901559002
825	0.4900153222
826	0.4898630692
827	0.4897277335
828	0.4895748631
829	0.4894220985
830	0.4879787923
831	0.4878256424
832	0.4869561429
833	0.4868020594
834	0.4866496773
835	0.4864965387
836	0.4863450367
837	0.486193923
838	0.4860392425
839	0.4858886529
840	0.4857344812
841	0.4855834847
842	0.4854326549
843	0.4845964233
844	0.4844459466
845	0.4843143309
846	0.4835881425
847	0.4834343464
848	0.4832971949
849	0.4831474749
850	0.4830112974
851	0.481637647
852	0.4814847295
853	0.4803142764
854	0.4801623617
855	0.4800124577
856	0.479863123
857	0.479714316
858	0.4795649919
859	0.4794168106
860	0.4792650703
861	0.479117263
862	0.4789697271
863	0.4788215868
864	0.4786733288
865	0.4785252519
866	0.4783774531
867	0.4782298965
868	0.4780835243
869	0.4779372352
870	0.477790115
871	0.4776431814
872	0.4774964191
873	0.4773506265
874	0.4772040102
875	0.477057722
876	0.4769115906
877	0.4767655957
878	0.4758773955
879	0.4757458101
880	0.4756006476
881	0.4743428996
882	0.4741954042
883	0.474046328
884	0.4739009523
885	0.4737558813
886	0.4736111723
887	0.4734666903
888	0.4733215802
889	0.4731767757
890	0.473031622
891	0.4728879421
892	0.4718871796
893	0.47174166
894	0.4715964832
895	0.4714518663
896	0.4713086324
897	0.4711649085
898	0.4710212978
899	0.4708779252
900	0.4707355572
901	0.4700233363
902	0.4698798718
903	0.469737624
904	0.4686050428
905	0.4684621575
906	0.4683342322
907	0.4681889185
908	0.468061229
909	0.4679191632
910	0.4668392483
911	0.4659691055
912	0.4658249938
913	0.4656829354
914	0.4655415024
915	0.465399662
916	0.465257999
917	0.4651166555
918	0.4649761929
919	0.4648359628
920	0.4646953316
921	0.4645555179
922	0.4644159774
923	0.4642766834
924	0.4641368816
925	0.4639967029
926	0.4638578014
927	0.4637189667
928	0.4635803766
929	0.4634411137
930	0.4633160993
931	0.4631770128
932	0.463038169
933	0.4628969318
934	0.4627584319
935	0.4626207265
936	0.4612643053
937	0.4611251839
938	0.4609862106
939	0.460847544
940	0.4607092226
941	0.460568915
942	0.4604311417
943	0.4602940767
944	0.4601558895
945	0.4593348136
946	0.4591966765
947	0.4590590833
948	0.4589218007
949	0.4587852296
950	0.4586487923
951	0.4585121602
952	0.4583761618
953	0.4582403122
954	0.4581046342
955	0.4579661608
956	0.4578293798
957	0.4576934841
958	0.4575582567
959	0.4574231903
960	0.4572877687
961	0.4571524562
962	0.4570177703
963	0.4568804456
964	0.4567460246
965	0.4566103958
966	0.4564749295
967	0.4563402749
968	0.4550936445
969	0.4549572774
970	0.4548217897
971	0.4546864723
972	0.4545515995
973	0.4544173863
974	0.4542820223
975	0.4541470221
976	0.4540307143
977	0.4538945568
978	0.4537601466
979	0.4536271752
980	0.4534944269
981	0.4527360974
982	0.4526022195
983	0.4524693024
984	0.4523359661
985	0.452203274
986	0.4520701597
987	0.4519378493
988	0.4518051315
989	0.4505720811
990	0.4504366477
991	0.4503027258
992	0.4501705289
993	0.4500372949
994	0.4499050413
995	0.4497729214
996	0.4496410392
997	0.4495098377
998	0.4493774816
999	0.4492465478
